Feature,Importance,Std
sleep_efficiency,0.15371241966263405,0.0061384698976553
engagement_score,0.09806870255905202,0.004848785218726012
focus_ratio,0.07306707009582869,0.003986514321360479
sleep_hours,0.07239259749592215,0.0039072549637076594
mental_health_status_Poor,0.06703435157204737,0.003775411282324229
motivation_effect,0.06171985166588296,0.0038789893782118666
health_score,0.020396984501678973,0.001942207011622709
mental_health_status_Good,0.018991313521722508,0.0017678430023807478
gaming_hours,0.012735724338492061,0.001670923000432701
smartphone_usage_hours,0.010518034162404873,0.0015261769414762144
motivation_level,0.008695041771046907,0.0013196299105073498
study_hours_per_day,0.0064553825305592024,0.0010753957843399609
balance_score,0.005282446499366733,0.0011442781519551326
distraction_ratio,0.005023195575958635,0.0009716597490325929
screen_per_study_hour,0.0013013468853480907,0.0004863072291978496
class_attendance_percent,0.0009453762964919473,0.00040381860886311803
assignment_completion_percent,0.0007730967343793601,0.0005084696522443143
study_efficiency,0.0005669058843415731,0.0004607961404264366
mental_pressure,-0.0005420200630582979,0.0006648845325360076
